Path,ClassId,ShapeId,ColorId,SignId,signname
Meta/27.png,27,0,0,1.32,Pedestrians
Meta/0.png,0,1,0,3.29,Speed limit (20km/h)
Meta/1.png,1,1,0,3.29,Speed limit (30km/h)
Meta/10.png,10,1,0,3.27,No passing veh over 3.5 tons
Meta/11.png,11,0,0,1.22,Right-of-way at intersection
Meta/12.png,12,2,2,2.3,Priority road
Meta/13.png,13,4,0,2.1,Yield
Meta/14.png,14,3,0,2.2,Stop
Meta/15.png,15,1,0,3.1,No vehicles
Meta/16.png,16,1,0,3.3,Veh > 3.5 tons prohibited
Meta/17.png,17,1,0,3.21,No entry
Meta/18.png,18,0,0,1.39,General caution
Meta/19.png,19,0,0,1.2,Dangerous curve left
Meta/2.png,2,1,0,3.29,Speed limit (50km/h)
Meta/20.png,20,0,0,1.1,Dangerous curve right
Meta/21.png,21,0,0,1.3.2,Double curve
Meta/22.png,22,0,0,1.1,Bumpy road
Meta/23.png,23,0,0,1.13,Slippery road
Meta/24.png,24,0,0,1.5.2,Road narrows on the right
Meta/25.png,25,0,0,1.37,Road work
Meta/26.png,26,0,0,1.24,Traffic signals
Meta/28.png,28,0,0,1.33,Children crossing
Meta/29.png,29,0,0,1.34,Bicycles crossing
Meta/3.png,3,1,0,3.29,Speed limit (60km/h)
Meta/30.png,30,0,0,None,Beware of ice/snow
Meta/31.png,31,0,0,1.36,Wild animals crossing
Meta/32.png,32,1,3,3.42,End speed + passing limits
Meta/33.png,33,1,1,4.2,Turn right ahead
Meta/34.png,34,1,1,4.3,Turn left ahead
Meta/35.png,35,1,1,4.1,Ahead only
Meta/36.png,36,1,1,4.4,Go straight or right
Meta/37.png,37,1,1,4.5,Go straight or left
Meta/38.png,38,1,1,4.7,Keep right
Meta/39.png,39,1,1,4.8,Keep left
Meta/4.png,4,1,0,3.29,Speed limit (70km/h)
Meta/40.png,40,1,1,4.1,Roundabout mandatory
Meta/41.png,41,1,3,3.26,End of no passing
Meta/42.png,42,1,3,3.28,End no passing veh > 3.5 tons
Meta/5.png,5,1,0,3.29,Speed limit (80km/h)
Meta/6.png,6,1,3,3.3,End of speed limit (80km/h)
Meta/7.png,7,1,0,3.29,Speed limit (100km/h)
Meta/8.png,8,1,0,3.29,Speed limit (120km/h)
Meta/9.png,9,1,0,3.25,No passing
